X,Y
488.4075677781366,3412.660764535889
602.9318936424679,3504.834093347192
688.8213814393384,3566.276745127514
803.3480247969856,3658.448592798784
946.4748213968704,3719.854695628397
1003.729698749492,3750.5661989767104
1060.984802498133,3781.277491671033
1118.2401326348772,3811.9885737057775
1175.495689176489,3842.699445087463
1232.7514721176703,3873.410105820745
1290.0074814438703,3904.1205559037626
1347.2637171784882,3934.830795363523
1433.1384687930697,3965.522185908632
1519.0135606491822,3996.2131033204496
2005.800829114217,4395.598396938294
2063.1028726060176,4487.80027180817
2120.4055922735133,4580.001929312013
2206.3717254259973,4733.677571447566
2235.034687809064,4795.151717466302
2263.6978752366267,4856.625807527453
2292.361287694541,4918.099841612391
2349.710639040335,5071.794858480804
2407.061113904172,5225.48964288272
2435.703744320432,5256.216283578426
2464.346487579751,5286.942871075124
2492.9893436844577,5317.669405373745
2578.896288858552,5379.101582437754
2636.160491421062,5409.807067972608
2693.424920310092,5440.512343072332
2722.0459286193945,5440.491348791868
2807.863451353798,5378.933835091069
2922.2781026492594,5286.607366440818
2950.8757950360887,5255.838837138377
2979.473374428693,5225.070253808051
3008.070840824221,5194.301616445184
3151.079910147586,5071.204741546884
3151.0564777783,5040.457619160414
3151.0330451306654,5009.710495714098
3122.3426940884674,4917.490905284882
3093.676000926411,4856.018383461051
3065.009532731201,4794.545805722475
3036.343289507728,4733.073172085919
2978.98838031292,4579.380600199103
2950.29982592701,4487.160657114349
2921.6116081339424,4394.9406532906
2892.9237269500154,4302.720588712022
2863.893023820361,3749.293107967824
2892.419181982521,3626.283117944375
2920.9678783394047,3534.0202300529927
2949.4931818273035,3411.0101022832096
3006.5887536114315,3226.484003212303
3035.1360275525367,3134.2208587042987
3063.682960185688,3041.957650858909
3063.659678969474,3011.210459791124
3063.63639747689,2980.4632676597685
3063.6131157080526,2949.716074477881
3063.589833662845,2918.9688802463934
3063.566551341268,2888.221684962511
3063.543268743437,2857.4744886411354
3063.519985869294,2826.7272912561893
3063.4967027187813,2795.9800928216428
3063.473419292015,2765.2328933347017
3034.6714975557406,2519.276904815808
3034.6482681616326,2488.5296960854903
3034.625038491853,2457.7824863046408
3005.87046269275,2273.320799847133
2977.1396753976587,2119.6062474567443
2948.386381960532,1935.1443912908435
2919.6797767152893,1812.1769123747945
2833.7225448471727,1658.504747968167
2805.0629149626475,1597.0315041989088
2719.107994031976,1443.3586801812053
2690.4492092786822,1381.8852143557742
2575.8833326942986,1228.2325427699834
2547.247786361142,1197.5060529885814
2518.6123530576588,1166.779509941116
2489.977032769646,1136.0529136378318
2461.3418255051365,1105.3262640535831
2432.7067312682047,1074.599561196752
2404.0717500565806,1043.8728050692007
2375.4368818874354,1013.1459956672044
2346.802126737428,982.4191330000758
2232.2425757611054,828.7638897784054
2117.6852835683967,675.107786135748
2003.1302503200127,521.4508219473064
1974.4971336445303,490.7232639696449
1945.864130025322,459.9956526942551
1917.231239461224,429.2679881174117
1888.598461969581,398.5402702502906
1859.9657975269947,367.8124990686774
1831.3332461480168,337.0846745800227
1716.824818904919,244.92012083157897
1602.3177499145386,152.75471991859376
1487.8120392364217,60.588471787050366
1373.3476280206232,29.91594221163541
1344.7365747657022,29.934498734772205
1316.1255216778372,29.95300261490047
1058.606703352183,-0.6301118209958076
1029.9957085097558,-0.6121341930702329
1001.3847138330456,-0.5942092072218657
972.773719317629,-0.5763368653133512
944.1627249682788,-0.5585171654820442
915.5517307909904,-0.5407501105219126
886.940736767021,-0.5230356995016336
858.329742903763,-0.5053739286959171
829.718749201973,-0.4877648036926985
801.1077556624659,-0.4702083226293325
772.4967622835538,-0.4527044836431741
743.8857690725126,-0.4352532867342233
715.2747760132188,-0.4178547356277704
686.6637831116677,-0.400508826598525
543.6638097454561,91.92725988849998
486.4597025574767,122.70854017324746
372.1047771609156,276.51227078028023
343.5112088669557,307.2762501742691
314.91752737999195,338.0401755608618
286.3237326989765,368.8040469298139
257.74758616701,430.3151262709871
200.6122593970504,584.0843689013273
172.03537505230634,645.5952735161409
114.898401625338,799.3641588557512
86.32077956054127,860.8748887535185
57.7429305986152,922.3855611896142
29.164854743226897,983.896176153794
0.5865520071820356,1045.4067336404696
0.6037999575491995,1076.1539721097795
0.6210477033164352,1106.9012095266953
0.6382952446001582,1137.648445893079
0.6555425813421607,1168.3956811958924
0.6727897134842351,1199.142915457487
0.6900366411427967,1229.8901486694813
0.7072833642596379,1260.637380829081
0.7245298828347586,1291.384611936286
0.7417761968681589,1322.1318419827148
0.7590223064180464,1352.879070987925
0.7762682113680057,1383.6262989407403
0.7935139117762446,1414.3735258430245
0.8107594076427631,1445.120751682669
0.8280046990257688,1475.867976481095
0.8452497858088464,1506.6152002289891
0.8624946680502035,1537.3624229244888
0.8797393458080478,1568.1096445694566
0.896983818965964,1598.856865151785
0.9142280875821598,1629.6040846928954
0.9314721517148428,1660.351303184405
0.9487160112475976,1691.0985206225887
0.965959666238632,1721.8457370102406
0.983203116687946,1752.592952336185
1.0004463626537472,1783.3401666209102
1.0176894040196205,1814.0873798541725
1.0349322408437729,1844.834592036903
1.052174873126205,1875.581803156063
1.0694173008669168,1906.329013235867
1.086659524065908,1937.076222264208
1.1039015427231789,1967.8234302410856
1.1211433567805216,1998.5706371665
1.1383849663543515,2029.3178430302069
1.155626371386461,2060.065047852695
1.1728675718186423,2090.8122516255826
1.1901085677673109,2121.559454346076
1.2073493591160511,2152.306656014174
1.2245899459230714,2183.053856622428
58.541363784868736,2336.757650456392
144.54491611459525,2613.433683820069
173.23101767344633,2736.406088732183
201.9175681567285,2859.3784255310893
230.6045675354544,2982.3506942018867
259.274272769806,3074.5757242348045
316.5968401407008,3228.278435492888
345.24959030770697,3289.756121655926
373.8845984580694,3320.4865888943896
402.51971955184126,3351.217002836056
488.4075677781366,3412.660764535889
